,,,,
T,Cp,S,Scalc,DeltaH
100,29.106,173.307,231.094,0
200,29.126,193.485,207.823,0
250,29.201,199.99,205.63,0
298.15,29.376,205.147,205.147,0
300,29.385,205.329,205.148,0
350,29.694,209.88,205.506,0
400,30.106,213.871,206.308,0
450,30.584,217.445,207.35,0
500,31.091,220.693,208.524,0
600,32.09,226.451,211.044,0
700,32.981,231.466,213.611,0
800,33.733,235.921,216.126,0
900,34.355,239.931,218.552,0
1000,34.87,243.578,220.875,0
1100,35.3,246.922,223.093,0
1200,35.667,250.01,225.209,0
1300,35.988,252.878,227.229,0
1400,36.277,255.556,229.158,0
1500,36.544,258.068,231.002,0
1600,36.796,260.434,232.768,0
1700,37.04,262.672,234.462,0
1800,37.277,264.796,236.089,0
1900,37.51,266.818,237.653,0
2000,37.741,268.748,239.16,0
2100,37.969,270.595,240.613,0
2200,38.195,272.366,242.017,0
2300,38.419,274.069,243.374,0
2400,38.639,275.709,244.687,0
2500,38.856,277.29,245.959,0
2600,39.068,278.819,247.194,0
2700,39.276,280.297,248.393,0
2800,39.478,281.729,249.558,0
2900,39.674,283.118,250.691,0
3000,39.864,284.466,251.795,0
3100,40.048,285.776,252.87,0
3200,40.225,287.05,253.918,0
3300,40.395,288.291,254.941,0
3400,40.559,289.499,255.94,0
3500,40.716,290.677,256.916,0
3600,40.868,291.826,257.87,0
3700,41.013,292.948,258.802,0
3800,41.154,294.044,259.716,0
3900,41.289,295.115,260.61,0
4000,41.421,296.162,261.485,0
4100,41.549,297.186,262.344,0
4200,41.674,298.189,263.185,0
4300,41.798,299.171,264.011,0
4400,41.92,300.133,264.821,0
4500,42.042,301.076,265.616,0
4600,42.164,302.002,266.397,0
4700,42.287,302.91,267.164,0
4800,42.413,303.801,267.918,0
4900,42.542,304.677,268.66,0
5000,42.675,305.538,269.389,0
5100,42.813,306.385,270.106,0
5200,42.956,307.217,270.811,0
5300,43.105,308.037,271.506,0
5400,43.262,308.844,272.19,0
5500,43.426,309.639,272.864,0
5600,43.599,310.424,273.527,0
5700,43.781,311.197,274.181,0
5800,43.973,311.96,274.826,0
5900,44.175,312.713,275.462,0
6000,44.387,313.457,276.089,0
